[2017-04-13 14:30:27,763] [feature] [INFO] cli initiated
[2017-04-13 14:30:28,852] [feature] [INFO] sudo grep -A3 'varmour_no_cli' /etc/bash.bashrc
[2017-04-13 14:30:29,010] [feature] [INFO] set system user varmour_no_cli role admin
[2017-04-13 14:30:29,017] [feature] [INFO] set system user varmour_no_cli password
[2017-04-13 14:30:29,189] [feature] [INFO] config commit succeeded
[2017-04-13 14:30:29,194] [feature] [INFO] Succeed to add user varmour_no_cli
[2017-04-13 14:30:29,194] [feature] [INFO] request cli terminal-length 0
[2017-04-13 14:30:29,208] [feature] [INFO] set system inactivity-timeout 250
[2017-04-13 14:30:29,345] [feature] [INFO] config commit succeeded
[2017-04-13 14:30:29,746] [feature] [INFO] cli initiated
[2017-04-13 14:30:30,207] [feature] [INFO] cli initiated
[2017-04-13 14:30:31,296] [feature] [INFO] sudo grep -A3 'varmour_no_cli' /etc/bash.bashrc
[2017-04-13 14:30:31,428] [feature] [INFO] set system user varmour_no_cli role admin
[2017-04-13 14:30:31,436] [feature] [INFO] set system user varmour_no_cli password
[2017-04-13 14:30:31,585] [feature] [INFO] config commit succeeded
[2017-04-13 14:30:31,590] [feature] [INFO] Succeed to add user varmour_no_cli
[2017-04-13 14:30:31,590] [feature] [INFO] request cli terminal-length 0
[2017-04-13 14:30:31,605] [feature] [INFO] set system inactivity-timeout 250
[2017-04-13 14:30:31,700] [feature] [INFO] config commit succeeded
[2017-04-13 14:30:32,012] [feature] [INFO] cli initiated
[2017-04-13 14:30:32,415] [feature] [INFO] cli initiated
[2017-04-13 14:30:32,646] [feature] [INFO] cli initiated
[2017-04-13 14:30:33,065] [feature] [INFO] cli initiated
[2017-04-13 14:30:33,321] [feature] [INFO] cli initiated
[2017-04-13 14:30:33,711] [feature] [INFO] cli initiated
[2017-04-13 14:30:33,905] [feature] [INFO] cli initiated
[2017-04-13 14:33:59,346] [feature] [INFO] cli initiated
[2017-04-13 14:34:00,436] [feature] [INFO] sudo grep -A3 'varmour_no_cli' /etc/bash.bashrc
[2017-04-13 14:34:00,589] [feature] [INFO] set system user varmour_no_cli role admin
[2017-04-13 14:34:00,596] [feature] [INFO] set system user varmour_no_cli password
[2017-04-13 14:34:00,787] [feature] [INFO] config commit succeeded
[2017-04-13 14:34:00,792] [feature] [INFO] Succeed to add user varmour_no_cli
[2017-04-13 14:34:00,792] [feature] [INFO] request cli terminal-length 0
[2017-04-13 14:34:00,805] [feature] [INFO] set system inactivity-timeout 250
[2017-04-13 14:34:00,934] [feature] [INFO] config commit succeeded
[2017-04-13 14:34:01,280] [feature] [INFO] cli initiated
[2017-04-13 14:34:01,719] [feature] [INFO] cli initiated
[2017-04-13 14:34:02,798] [feature] [INFO] sudo grep -A3 'varmour_no_cli' /etc/bash.bashrc
[2017-04-13 14:34:02,937] [feature] [INFO] set system user varmour_no_cli role admin
[2017-04-13 14:34:02,943] [feature] [INFO] set system user varmour_no_cli password
[2017-04-13 14:34:03,265] [feature] [INFO] config commit succeeded
[2017-04-13 14:34:03,269] [feature] [INFO] Succeed to add user varmour_no_cli
[2017-04-13 14:34:03,269] [feature] [INFO] request cli terminal-length 0
[2017-04-13 14:34:03,284] [feature] [INFO] set system inactivity-timeout 250
[2017-04-13 14:34:03,481] [feature] [INFO] config commit succeeded
[2017-04-13 14:34:03,814] [feature] [INFO] cli initiated
[2017-04-13 14:34:04,237] [feature] [INFO] cli initiated
[2017-04-13 14:34:04,470] [feature] [INFO] cli initiated
[2017-04-13 14:34:04,853] [feature] [INFO] cli initiated
[2017-04-13 14:34:05,101] [feature] [INFO] cli initiated
[2017-04-13 14:34:05,973] [feature] [INFO] cli initiated
[2017-04-13 14:34:06,162] [feature] [INFO] cli initiated
[2017-04-13 14:35:36,672] [feature] [INFO] cli initiated
[2017-04-13 14:35:37,753] [feature] [INFO] sudo grep -A3 'varmour_no_cli' /etc/bash.bashrc
[2017-04-13 14:35:37,903] [feature] [INFO] set system user varmour_no_cli role admin
[2017-04-13 14:35:37,911] [feature] [INFO] set system user varmour_no_cli password
[2017-04-13 14:35:38,225] [feature] [INFO] config commit succeeded
[2017-04-13 14:35:38,229] [feature] [INFO] Succeed to add user varmour_no_cli
[2017-04-13 14:35:38,229] [feature] [INFO] request cli terminal-length 0
[2017-04-13 14:35:38,241] [feature] [INFO] set system inactivity-timeout 250
[2017-04-13 14:35:38,531] [feature] [INFO] config commit succeeded
[2017-04-13 14:35:38,841] [feature] [INFO] cli initiated
[2017-04-13 14:35:39,312] [feature] [INFO] cli initiated
[2017-04-13 14:35:40,404] [feature] [INFO] sudo grep -A3 'varmour_no_cli' /etc/bash.bashrc
[2017-04-13 14:35:40,541] [feature] [INFO] set system user varmour_no_cli role admin
[2017-04-13 14:35:40,547] [feature] [INFO] set system user varmour_no_cli password
