[2017-03-13 14:19:43,650] [vautils] [INFO] False
[2017-03-13 14:19:44,057] [access] [INFO] [dir_1] 
[2017-03-13 14:19:44,057] [access] [INFO] [dir_1] Build: 3.1.0-2017-02-09-15-53-38-eng-ep-builtbot
[2017-03-13 14:19:44,058] [access] [INFO] [dir_1] 
[2017-03-13 14:19:44,058] [access] [INFO] [dir_1] Welcome to vArmour!
[2017-03-13 14:19:44,058] [access] [INFO] [dir_1] Trying to connect to vArmour Management server ..'console': unknown terminal type.
[2017-03-13 14:19:44,059] [access] [INFO] [dir_1] ### VAOS 3.1.0-2017-02-09-15-53-38-eng-builtbot
[2017-03-13 14:19:44,059] [access] [INFO] [dir_1] 
[2017-03-13 14:19:44,059] [access] [INFO] [dir_1]  Checking management server status..... 
[2017-03-13 14:19:44,059] [access] [INFO] [dir_1] varmour@vArmour#ROOT(M)> 
[2017-03-13 14:19:44,060] [access] [INFO] [dir_1] The configuration has been installed.
[2017-03-13 14:19:44,060] [access] [INFO] [dir_1] Connecting to the management console
[2017-03-13 14:19:44,060] [access] [INFO] [dir_1] Warning: The device is configured with the default password.  Please change
[2017-03-13 14:19:44,061] [access] [INFO] [dir_1]          the default password to prevent unauthorized logins.
[2017-03-13 14:19:44,061] [access] [INFO] [dir_1] 
[2017-03-13 14:19:44,061] [access] [INFO] [dir_1] 
[2017-03-13 14:19:44,061] [access] [INFO] [dir_1] 
[2017-03-13 14:19:44,062] [access] [INFO] [dir_1] HA sync stage. Do show high-availability to see HA status.
[2017-03-13 14:19:44,062] [access] [INFO] [dir_1] 
[2017-03-13 14:19:44,062] [access] [INFO] [dir_1] varmour@vArmour#ROOT(M)> 
[2017-03-13 14:19:44,065] [access] [INFO] [dir_1] 
[2017-03-13 14:19:44,066] [access] [INFO] [dir_1] varmour@vArmour#ROOT(M)> 
[2017-03-13 14:19:44,066] [feature] [INFO] cli initiated
[2017-03-13 14:19:44,066] [feature] [INFO] request cli terminal-length 0
[2017-03-13 14:19:44,074] [access] [INFO] [dir_1] request cli terminal-length 0
[2017-03-13 14:19:44,074] [access] [INFO] [dir_1] varmour@vArmour#ROOT(M)> 
[2017-03-13 14:19:44,076] [access] [INFO] [dir_1] 
[2017-03-13 14:19:44,076] [access] [INFO] [dir_1] varmour@vArmour#ROOT(M)> 
[2017-03-13 14:19:44,078] [access] [INFO] [dir_1] configure
[2017-03-13 14:19:44,078] [access] [INFO] [dir_1] varmour@vArmour#ROOT(config)(M)> 
[2017-03-13 14:19:44,078] [feature] [INFO] set system inactivity-timeout 250
[2017-03-13 14:19:44,082] [access] [INFO] [dir_1] set system inactivity-timeout 250
[2017-03-13 14:19:44,082] [access] [INFO] [dir_1] varmour@vArmour#ROOT(config)(M)> 
[2017-03-13 14:19:44,084] [access] [INFO] [dir_1] 
[2017-03-13 14:19:44,084] [access] [INFO] [dir_1] varmour@vArmour#ROOT(config)(M)> 
[2017-03-13 14:19:44,193] [access] [INFO] [dir_1] commit
[2017-03-13 14:19:44,194] [access] [INFO] [dir_1] varmour@vArmour#ROOT(config)(M)> 
[2017-03-13 14:19:44,194] [feature] [INFO] config commit succeeded
[2017-03-13 14:19:44,195] [access] [INFO] [dir_1] 
[2017-03-13 14:19:44,196] [access] [INFO] [dir_1] varmour@vArmour#ROOT(config)(M)> 
[2017-03-13 14:19:44,198] [access] [INFO] [dir_1] exit
[2017-03-13 14:19:44,198] [access] [INFO] [dir_1] varmour@vArmour#ROOT(M)> 
[2017-03-13 14:19:44,528] [access] [INFO] [dir_2] 
[2017-03-13 14:19:44,528] [access] [INFO] [dir_2] Build: 3.1.0-2017-02-09-15-53-38-eng-ep-builtbot
[2017-03-13 14:19:44,528] [access] [INFO] [dir_2] 
[2017-03-13 14:19:44,528] [access] [INFO] [dir_2] Welcome to vArmour!
[2017-03-13 14:19:44,529] [access] [INFO] [dir_2] Trying to connect to vArmour Management server ..'console': unknown terminal type.
[2017-03-13 14:19:44,529] [access] [INFO] [dir_2] ### VAOS 3.1.0-2017-02-09-15-53-38-eng-builtbot
[2017-03-13 14:19:44,529] [access] [INFO] [dir_2] 
[2017-03-13 14:19:44,529] [access] [INFO] [dir_2]  Checking management server status..... 
[2017-03-13 14:19:44,530] [access] [INFO] [dir_2] varmour@vArmour#ROOT(PB)> 
[2017-03-13 14:19:44,530] [access] [INFO] [dir_2] The configuration has been installed.
[2017-03-13 14:19:44,530] [access] [INFO] [dir_2] Connecting to the management console
[2017-03-13 14:19:44,530] [access] [INFO] [dir_2] Warning: The device is configured with the default password.  Please change
[2017-03-13 14:19:44,531] [access] [INFO] [dir_2]          the default password to prevent unauthorized logins.
[2017-03-13 14:19:44,531] [access] [INFO] [dir_2] 
[2017-03-13 14:19:44,531] [access] [INFO] [dir_2] 
[2017-03-13 14:19:44,531] [access] [INFO] [dir_2] 
[2017-03-13 14:19:44,532] [access] [INFO] [dir_2] HA sync stage. Do show high-availability to see HA status.
[2017-03-13 14:19:44,532] [access] [INFO] [dir_2] 
[2017-03-13 14:19:44,532] [access] [INFO] [dir_2] varmour@vArmour#ROOT(PB)> 
[2017-03-13 14:19:44,534] [access] [INFO] [dir_2] 
[2017-03-13 14:19:44,534] [access] [INFO] [dir_2] varmour@vArmour#ROOT(PB)> 
[2017-03-13 14:19:44,534] [feature] [INFO] cli initiated
[2017-03-13 14:19:44,534] [feature] [INFO] request cli terminal-length 0
[2017-03-13 14:19:44,545] [access] [INFO] [dir_2] request cli terminal-length 0
[2017-03-13 14:19:44,545] [access] [INFO] [dir_2] varmour@vArmour#ROOT(PB)> 
[2017-03-13 14:19:44,547] [access] [INFO] [dir_2] 
[2017-03-13 14:19:44,548] [access] [INFO] [dir_2] varmour@vArmour#ROOT(PB)> 
[2017-03-13 14:19:44,550] [access] [INFO] [dir_2] configure
[2017-03-13 14:19:44,550] [access] [INFO] [dir_2] varmour@vArmour#ROOT(config)(PB)> 
[2017-03-13 14:19:44,550] [feature] [INFO] set system inactivity-timeout 250
[2017-03-13 14:19:44,554] [access] [INFO] [dir_2] set system inactivity-timeout 250
[2017-03-13 14:19:44,555] [access] [INFO] [dir_2] Command is not supported on high-availability backup/ineligible device
[2017-03-13 14:19:44,555] [access] [INFO] [dir_2] varmour@vArmour#ROOT(config)(PB)> 
[2017-03-13 14:19:44,556] [access] [INFO] [dir_2] 
[2017-03-13 14:19:44,556] [access] [INFO] [dir_2] varmour@vArmour#ROOT(config)(PB)> 
[2017-03-13 14:19:44,560] [access] [INFO] [dir_2] commit
[2017-03-13 14:19:44,560] [access] [INFO] [dir_2] Nothing to commit!
[2017-03-13 14:19:44,560] [access] [INFO] [dir_2] varmour@vArmour#ROOT(config)(PB)> 
[2017-03-13 14:19:44,560] [feature] [INFO] config commit succeeded
[2017-03-13 14:19:44,562] [access] [INFO] [dir_2] 
[2017-03-13 14:19:44,562] [access] [INFO] [dir_2] varmour@vArmour#ROOT(config)(PB)> 
[2017-03-13 14:19:44,564] [access] [INFO] [dir_2] exit
[2017-03-13 14:19:44,565] [access] [INFO] [dir_2] varmour@vArmour#ROOT(PB)> 
[2017-03-13 14:19:44,890] [access] [INFO] [cp_1] 
[2017-03-13 14:19:44,891] [access] [INFO] [cp_1] Build: 3.1.0-2017-02-09-15-53-38-eng-ep-builtbot
[2017-03-13 14:19:44,891] [access] [INFO] [cp_1] 
[2017-03-13 14:19:44,892] [access] [INFO] [cp_1] Welcome to vArmour!
[2017-03-13 14:19:44,892] [access] [INFO] [cp_1] Last login: Sun Mar 12 22:55:30 2017 from 10.11.123.169
[2017-03-13 14:19:44,892] [access] [INFO] [cp_1] Trying to connect to vArmour Management server ..'console': unknown terminal type.
[2017-03-13 14:19:44,893] [access] [INFO] [cp_1] ### VAOS 3.1.0-2017-02-09-15-53-38-eng-builtbot
[2017-03-13 14:19:44,893] [access] [INFO] [cp_1] 
[2017-03-13 14:19:44,894] [access] [INFO] [cp_1]  Running inside CP cli console
[2017-03-13 14:19:44,894] [access] [INFO] [cp_1] varmour@vArmour#ROOT> 
[2017-03-13 14:19:44,894] [access] [INFO] [cp_1] varmour@vArmour#ROOT> 
[2017-03-13 14:19:44,896] [access] [INFO] [cp_1] 
[2017-03-13 14:19:44,897] [access] [INFO] [cp_1] varmour@vArmour#ROOT> 
[2017-03-13 14:19:44,897] [feature] [INFO] cli initiated
[2017-03-13 14:19:45,167] [access] [INFO] [epi_1] 
[2017-03-13 14:19:45,167] [access] [INFO] [epi_1] Build: 3.1.0-2017-02-09-15-53-38-eng-epi-builtbot
[2017-03-13 14:19:45,168] [access] [INFO] [epi_1] 
[2017-03-13 14:19:45,168] [access] [INFO] [epi_1] Welcome to vArmour!
[2017-03-13 14:19:45,168] [access] [INFO] [epi_1] Trying to connect to vArmour Management server ..'console': unknown terminal type.
[2017-03-13 14:19:45,168] [access] [INFO] [epi_1] ### VAOS 3.1.0-2017-02-09-15-53-38-eng-builtbot
[2017-03-13 14:19:45,168] [access] [INFO] [epi_1] 
[2017-03-13 14:19:45,168] [access] [INFO] [epi_1]  Running inside EPI cli console
[2017-03-13 14:19:45,168] [access] [INFO] [epi_1] varmour@vArmour#ROOT> 
[2017-03-13 14:19:45,169] [access] [INFO] [epi_1] varmour@vArmour#ROOT> 
[2017-03-13 14:19:45,170] [access] [INFO] [epi_1] 
[2017-03-13 14:19:45,170] [access] [INFO] [epi_1] varmour@vArmour#ROOT> 
[2017-03-13 14:19:45,171] [feature] [INFO] cli initiated
